Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2024-11-05 16:36:22,false,"Berlin Cycling","7.97","290","00:29:01","134","163","--","--","16.5","27.6","36","23","--","0.0","--","--","--","No","00:12:06","2","--","--","--","--","--","--","--","--","00:24:57","00:29:01","26","56"
Cycling,2024-11-05 07:26:24,false,"Berlin Cycling","7.78","299","00:32:07","127","155","--","--","14.5","29.9","86","62","--","0.0","--","--","--","No","00:14:48","2","--","--","--","--","--","--","--","--","00:24:43","00:32:07","26","73"
Strength Training,2024-11-04 11:43:46,false,"Home","0.00","450","00:48:09","130","155","--","--","--","--","--","--","--","0.0","--","--","--","No","00:48:09","1","--","--","--","--","--","--","--","--","00:00:00","00:48:09","--","--"
Strength Training,2024-11-01 12:35:59,false,"Home","0.00","419","00:45:04","130","157","--","--","--","--","--","--","--","0.0","--","--","--","No","00:45:04","1","--","--","--","--","--","--","--","--","00:00:00","00:45:04","--","--"
Strength Training,2024-10-28 12:01:21,false,"Home","0.00","352","00:37:22","130","151","--","--","--","--","--","--","--","0.0","--","--","--","No","00:37:22","1","--","--","--","--","--","--","--","--","00:00:00","00:37:22","--","--"
Bouldering,2024-10-25 14:27:09,false,"Bouldering","--","288","00:48:36","109","126","--","--","--","--","--","--","--","0.0","--","--","--","No","00:48:36","1","--","--","--","--","--","--","--","--","00:00:00","00:48:36","--","--"
Cycling,2024-10-24 15:24:26,false,"Berlin Cycling","5.24","207","00:19:58","132","153","--","--","15.8","22.8","24","11","--","0.0","--","--","--","No","00:00:54.9","2","--","--","--","--","--","--","--","--","00:18:13","00:19:58","26","53"
Cycling,2024-10-24 07:38:31,false,"Berlin Cycling","7.72","247","00:26:58","124","158","--","--","17.2","29.4","27","44","--","0.0","--","--","--","No","00:09:13.2","2","--","--","--","--","--","--","--","--","00:24:10","00:26:58","25","58"
Bouldering,2024-10-18 12:12:42,false,"Bouldering","--","151","00:29:24","101","120","--","--","--","--","--","--","--","0.0","--","--","--","No","00:01:30.0","11","--","--","--","--","--","--","--","--","00:00:00","00:29:24","--","--"
Cycling,2024-10-10 17:08:37,false,"Berlin Cycling","7.98","289","00:30:01","128","152","--","--","15.9","51.2","26","13","--","0.0","--","--","--","No","00:11:16","2","--","--","--","--","--","--","--","--","00:26:01","00:30:01","26","57"
Cycling,2024-10-10 07:40:59,false,"Berlin Cycling","7.73","326","00:28:49","142","169","--","--","16.1","27.7","27","41","--","0.0","--","--","--","No","00:10:14","2","--","--","--","--","--","--","--","--","00:24:06","00:28:49","26","58"
Cycling,2024-10-08 16:54:23,false,"Berlin Cycling","7.92","311","00:30:19","134","161","--","--","15.7","27.0","30","15","--","0.0","--","--","--","No","00:11:12","2","--","--","--","--","--","--","--","--","00:25:04","00:30:19","27","55"
Cycling,2024-10-08 07:46:38,false,"Berlin Cycling","7.47","274","00:29:36","127","162","--","--","15.1","28.1","17","33","--","0.0","--","--","--","No","00:10:51","2","--","--","--","--","--","--","--","--","00:23:35","00:29:36","26","61"
Walking,2024-09-30 10:13:13,false,"Mayrhofen Walking","14.84","1,254","03:45:53","95","147","80","159","15:13","3:40","1,550","1,550","0.83","0.0","18,826","--","--","No","00:09:38.6","15","--","--","--","--","--","--","--","--","03:03:23","05:51:57","601","2,085"
Walking,2024-09-29 10:49:53,false,"Mayrhofen Walking","9.45","1,077","03:46:31","92","144","53","222","23:59","9:49","1,617","1,617","0.77","0.0","14,206","--","--","No","00:11:47","10","--","--","--","--","--","--","--","--","02:04:03","06:51:22","601","2,204"
Walking,2024-09-28 10:44:35,false,"Mayrhofen Walking","6.56","457","01:24:09","93","109","89","150","12:49","9:30","11","37","0.88","0.0","7,826","--","--","No","00:06:44.7","7","--","--","--","--","--","--","--","--","01:10:28","01:26:08","577","607"
Walking,2024-09-27 12:10:04,false,"Gerlos Walking","2.00","302","01:10:34","91","121","30","160","35:14","0:42","100","109","0.93","0.0","3,116","--","--","No","00:00:04.4","3","--","--","--","--","--","--","--","--","00:25:21","01:43:25","1,943","2,027"
Walking,2024-09-25 11:48:36,false,"Krimml Walking","10.52","1,180","03:54:19","104","143","58","160","22:15","7:54","601","602","0.77","0.0","15,072","--","--","No","00:11:33","11","--","--","--","--","--","--","--","--","02:08:16","04:45:06","1,071","1,501"
Bouldering,2024-09-22 16:14:44,false,"Bouldering","--","536","01:20:10","118","152","--","--","--","--","--","--","--","0.0","--","--","--","No","01:20:10","1","--","--","--","--","--","--","--","--","00:00:00","01:20:10","--","--"
Cycling,2024-09-17 16:48:03,false,"Berlin Cycling","7.88","285","00:30:39","125","153","--","--","15.4","28.3","35","27","--","0.0","--","--","--","No","00:12:56","2","--","--","--","--","--","--","--","--","00:25:20","00:30:39","26","57"
Cycling,2024-09-17 07:45:09,false,"Berlin Cycling","7.53","275","00:26:25","132","153","--","--","17.1","27.8","35","50","--","0.0","--","--","--","No","00:09:42.3","2","--","--","--","--","--","--","--","--","00:22:34","00:26:25","26","59"
Bouldering,2024-09-16 19:18:09,false,"Bouldering","--","435","01:15:47","107","141","--","--","--","--","--","--","--","0.0","--","--","--","No","01:15:47","1","--","--","--","--","--","--","--","--","00:00:00","01:15:47","--","--"
Cycling,2024-09-12 17:09:37,false,"Berlin Cycling","7.95","378","00:51:30","121","161","--","--","9.3","29.3","27","20","--","0.0","--","--","--","No","00:17:25","2","--","--","--","--","--","--","--","--","00:26:10","00:51:30","26","57"
Cycling,2024-09-12 07:42:38,false,"Berlin Cycling","7.77","347","00:32:58","135","174","--","--","14.1","32.5","51","49","--","0.0","--","--","--","No","00:15:01","2","--","--","--","--","--","--","--","--","00:23:31","00:32:58","26","60"
Cycling,2024-09-10 17:25:34,false,"Berlin Cycling","8.00","294","00:28:46","132","169","--","--","16.7","29.1","35","21","--","0.0","--","--","--","No","00:11:53","2","--","--","--","--","--","--","--","--","00:23:37","00:28:46","26","53"
Cycling,2024-09-10 07:39:08,false,"Berlin Cycling","7.80","272","00:27:41","96","130","--","--","16.9","28.7","37","54","--","0.0","--","--","--","No","00:09:13.1","2","--","--","--","--","--","--","--","--","00:24:08","00:27:41","26","62"
Cycling,2024-09-03 15:52:52,false,"Berlin Cycling","6.71","216","00:22:03","128","156","--","--","18.3","28.4","30","18","--","0.0","--","--","--","No","00:05:38.2","2","--","--","--","--","--","--","--","--","00:19:33","00:22:03","26","57"
Cycling,2024-09-03 07:34:45,false,"Berlin Cycling","7.73","278","00:27:35","129","162","--","--","16.8","31.1","16","34","--","0.0","--","--","--","No","00:09:09.9","2","--","--","--","--","--","--","--","--","00:22:24","00:27:35","26","55"
Bouldering,2024-09-02 19:45:11,false,"Bouldering","--","313","00:38:55","123","145","--","--","--","--","--","--","--","0.0","--","--","--","No","00:11:40","2","--","--","--","--","--","--","--","--","00:00:00","00:38:55","--","--"
Cycling,2024-08-29 18:03:33,false,"Berlin Cycling","7.96","296","00:25:54","138","158","--","--","18.5","30.0","24","11","--","0.0","--","--","--","No","00:09:11.4","2","--","--","--","--","--","--","--","--","00:23:22","00:25:54","26","53"
Cycling,2024-08-29 07:46:32,false,"Berlin Cycling","7.74","281","00:26:17","87","125","--","--","17.7","26.5","18","36","--","0.0","--","--","--","No","00:09:46.9","2","--","--","--","--","--","--","--","--","00:24:04","00:26:21","25","56"
Cycling,2024-08-25 18:03:22,false,"Berlin Cycling","10.87","357","00:35:38","130","163","--","--","18.3","29.9","902","887","--","0.0","--","--","--","No","00:03:33.4","3","--","--","--","--","--","--","--","--","00:31:05","00:35:38","31","886"
Cycling,2024-08-25 15:03:21,false,"Berlin Cycling","8.52","329","00:30:02","138","165","--","--","17.0","28.4","20","32","--","0.0","--","--","--","No","00:12:33","2","--","--","--","--","--","--","--","--","00:26:19","00:30:02","29","62"
Cycling,2024-08-22 16:36:29,false,"Berlin Cycling","7.86","276","00:25:43","134","159","--","--","18.3","36.3","37","23","--","0.0","--","--","--","No","00:08:30.2","2","--","--","--","--","--","--","--","--","00:22:06","00:25:43","27","56"
Cycling,2024-08-22 07:18:27,false,"Berlin Cycling","7.76","297","00:34:21","124","160","--","--","13.6","28.4","26","20","--","0.0","--","--","--","No","00:16:32","2","--","--","--","--","--","--","--","--","00:23:28","00:34:21","26","59"
Cycling,2024-08-20 16:13:11,false,"Berlin Cycling","7.86","281","00:26:01","134","160","--","--","18.1","35.3","32","16","--","0.0","--","--","--","No","00:08:45.3","2","--","--","--","--","--","--","--","--","00:22:58","00:26:01","27","55"
Cycling,2024-08-20 07:51:06,false,"Berlin Cycling","7.72","248","00:26:41","124","159","--","--","17.3","27.5","21","37","--","0.0","--","--","--","No","00:09:25.3","2","--","--","--","--","--","--","--","--","00:22:56","00:26:41","26","61"
Cycling,2024-08-16 15:28:19,false,"Berlin Cycling","7.92","287","00:25:02","139","171","--","--","19.0","32.5","41","27","--","0.0","--","--","--","No","00:08:31.8","2","--","--","--","--","--","--","--","--","00:22:14","00:25:02","26","59"
Cycling,2024-08-15 08:12:11,false,"Berlin Cycling","7.72","258","00:26:25","129","165","--","--","17.5","29.1","23","40","--","0.0","--","--","--","No","00:11:02","2","--","--","--","--","--","--","--","--","00:22:02","00:26:25","26","62"
Cycling,2024-08-14 15:33:34,false,"Berlin Cycling","7.96","279","00:26:12","140","160","--","--","18.2","28.4","20","4","--","0.0","--","--","--","No","00:09:25.0","2","--","--","--","--","--","--","--","--","00:24:36","00:26:12","26","58"
Cycling,2024-08-14 08:08:49,false,"Berlin Cycling","7.95","274","00:26:38","132","164","--","--","17.9","30.5","14","32","--","0.0","--","--","--","No","00:10:44","2","--","--","--","--","--","--","--","--","00:22:41","00:26:38","26","58"
Cycling,2024-08-13 17:03:14,false,"Berlin Cycling","7.87","286","00:28:38","130","156","--","--","16.5","27.7","42","32","--","0.0","--","--","--","No","00:10:01","2","--","--","--","--","--","--","--","--","00:24:38","00:28:38","27","58"
Cycling,2024-08-13 08:12:40,false,"Berlin Cycling","7.71","263","00:27:13","127","159","--","--","17.0","29.4","74","30","--","0.0","--","--","--","No","00:11:38","2","--","--","--","--","--","--","--","--","00:22:28","00:27:19","26","94"
Cycling,2024-08-12 20:49:47,false,"Berlin Cycling","7.87","324","00:28:09","141","169","--","--","16.8","29.1","34","24","--","0.0","--","--","--","No","00:11:50","2","--","--","--","--","--","--","--","--","00:24:03","00:28:09","26","58"
Cycling,2024-08-12 08:31:17,false,"Berlin Cycling","8.02","269","00:25:02","135","160","--","--","19.2","31.5","72","68","--","0.0","--","--","--","No","00:09:38.5","2","--","--","--","--","--","--","--","--","00:22:12","00:25:02","26","61"
Cycling,2024-08-08 16:12:42,false,"Berlin Cycling","7.94","270","00:24:01","140","170","--","--","19.8","28.9","34","19","--","0.0","--","--","--","No","00:08:28.7","2","--","--","--","--","--","--","--","--","00:22:34","00:24:01","26","57"
Cycling,2024-08-08 07:47:33,false,"Berlin Cycling","7.61","223","00:23:59","124","148","--","--","19.0","26.3","36","53","--","0.0","--","--","--","No","00:09:00.8","2","--","--","--","--","--","--","--","--","00:22:15","00:23:59","26","60"
Cycling,2024-08-07 11:33:31,false,"Cycling","0.00","--","00:17:53","83","83","--","--","--","--","--","--","--","0.0","--","--","--","No","00:17:53","1","--","--","--","--","--","--","--","--","00:00:00","00:17:53","--","--"
Cycling,2024-08-06 16:51:26,false,"Berlin Cycling","8.23","287","00:29:58","126","160","--","--","16.5","41.9","39","22","--","0.0","--","--","--","No","00:11:02","2","--","--","--","--","--","--","--","--","00:25:58","00:29:58","26","58"
Cycling,2024-08-06 08:09:28,false,"Berlin Cycling","8.00","289","00:26:56","134","165","--","--","17.8","29.5","27","46","--","0.0","--","--","--","No","00:10:11","2","--","--","--","--","--","--","--","--","00:22:50","00:26:56","26","60"
Bouldering,2024-08-05 19:04:06,false,"Bouldering","--","250","00:26:42","128","149","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:42","1","--","--","--","--","--","--","--","--","00:00:00","00:26:42","--","--"
Bouldering,2024-08-05 18:33:52,false,"Bouldering","--","206","00:24:45","120","147","--","--","--","--","--","--","--","0.0","--","--","--","No","00:24:45","1","--","--","--","--","--","--","--","--","00:00:00","00:24:45","--","--"
Cycling,2024-08-01 17:33:27,false,"Berlin Cycling","7.91","330","00:27:21","146","176","--","--","17.4","30.6","23","13","--","0.0","--","--","--","No","00:11:47","2","--","--","--","--","--","--","--","--","00:23:19","00:27:21","27","57"
Cycling,2024-08-01 08:19:01,false,"Berlin Cycling","8.13","194","00:25:34","113","147","--","--","19.1","31.6","25","41","--","0.0","--","--","--","No","00:10:43","2","--","--","--","--","--","--","--","--","00:23:08","00:25:34","25","58"
Strength Training,2024-07-29 08:25:02,false,"Home Workout","0.00","133","00:20:00","--","--","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:00","1","--","--","--","--","--","--","--","--","--:--:--","00:20:00","--","--"
Bouldering,2024-07-26 09:58:44,false,"Bouldering","--","539","01:42:45","104","131","--","--","--","--","--","--","--","0.0","--","--","--","No","01:42:45","1","--","--","--","--","--","--","--","--","00:00:00","01:42:45","--","--"
Cycling,2024-07-25 09:20:12,false,"Berlin Cycling","63.73","2,179","04:18:49","133","170","--","--","14.8","26.9","323","323","--","0.0","--","--","--","No","00:13:36","13","--","--","--","--","--","--","--","--","03:53:25","05:20:57","40","75"
Cycling,2024-07-19 11:35:46,false,"Schübelhof Cycling","5.52","394","01:09:49","102","140","--","--","4.7","14.7","143","141","--","0.0","--","--","--","No","00:06:47.4","2","--","--","--","--","--","--","--","--","00:52:00","01:40:02","568","620"
Strength Training,2024-07-16 20:35:30,false,"HR Coherence","0.00","17","00:10:01","65","73","--","--","--","--","--","--","--","0.0","--","--","--","No","00:10:01","1","--","--","--","--","--","--","--","--","00:00:00","00:10:01","--","--"
Cycling,2024-07-16 12:04:51,false,"Röslau Cycling","9.80","561","01:52:06","101","134","--","--","5.2","13.9","119","119","--","0.0","--","--","--","No","00:48:59","2","--","--","--","--","--","--","--","--","01:32:04","02:17:16","555","623"
Bouldering,2024-07-12 09:49:35,false,"Bouldering","--","589","01:48:11","106","142","--","--","--","--","--","--","--","0.0","--","--","--","No","01:48:11","1","--","--","--","--","--","--","--","--","00:00:00","01:48:11","--","--"
Cycling,2024-07-11 15:49:04,false,"Cycling","0.00","128","00:12:14","130","158","--","--","--","--","--","--","--","0.0","--","--","--","No","00:12:14","1","--","--","--","--","--","--","--","--","00:00:00","00:12:14","--","--"
Cycling,2024-07-09 18:45:23,false,"Cycling","0.00","286","00:24:31","141","165","--","--","--","--","--","--","--","0.0","--","--","--","No","00:24:31","1","--","--","--","--","--","--","--","--","00:00:00","00:24:31","--","--"
Cycling,2024-07-09 08:29:07,false,"Cycling","0.00","190","00:24:27","113","140","--","--","--","--","--","--","--","0.0","--","--","--","No","00:24:27","1","--","--","--","--","--","--","--","--","00:00:00","00:24:27","24","24"
Running,2024-07-08 08:28:16,false,"Berlin Running","4.34","347","00:25:49","157","179","159","169","5:57","4:54","17","20","1.06","0.0","4,124","--","--","No","00:01:53.0","5","--","--","--","--","--","--","--","--","00:25:30","00:26:07","46","65"
Bouldering,2024-07-05 10:05:53,false,"Bouldering","--","536","01:36:41","108","137","--","--","--","--","--","--","--","0.0","--","--","--","No","01:36:41","1","--","--","--","--","--","--","--","--","00:00:00","01:36:41","--","--"
Gym & Fitness Equipment,2024-07-01 10:06:34,false,"Calisthenics","--","369","00:50:20","115","145","--","--","--","--","--","--","--","0.0","--","--","--","No","00:15:52","2","--","--","--","--","--","--","--","--","00:00:00","00:50:20","--","--"
Cycling,2024-06-29 16:39:30,false,"Bernau bei Berlin Cycling","3.63","105","00:16:18","105","119","--","--","13.4","20.7","252","281","--","0.0","--","--","--","No","00:16:18","1","--","--","--","--","--","--","--","--","00:13:10","00:16:18","-37","208"
Bouldering,2024-06-28 10:00:08,false,"Bouldering","--","577","01:36:57","114","152","--","--","--","--","--","--","--","0.0","--","--","--","No","01:36:57","1","--","--","--","--","--","--","--","--","00:00:00","01:36:57","--","--"
Bouldering,2024-06-21 09:55:14,false,"Bouldering @ Berta Block","--","570","01:47:12","105","132","--","--","--","--","--","--","--","0.0","--","--","--","No","01:47:12","1","--","--","--","--","--","--","--","--","00:00:00","01:47:12","--","--"
Strength Training,2024-06-19 20:52:28,false,"Strength","0.00","401","00:34:06","143","163","--","--","--","--","--","--","--","0.0","--","--","--","No","00:34:06","1","--","--","--","--","--","--","--","--","00:00:00","00:34:06","--","--"
Treadmill Running,2024-06-19 20:38:48,false,"Treadmill Running","1.88","161","00:11:33","162","174","165","172","6:08","5:51","--","--","0.98","0.0","1,902","--","--","No","00:05:26.3","2","--","--","--","--","--","--","--","--","00:11:33","00:11:33","--","--"
Walking,2024-06-13 11:03:28,false,"Harz (LK Goslar) (Gemfr. Gebiet) Walking","4.82","536","02:14:06","84","149","35","160","27:49","2:00","227","242","1.10","0.0","5,756","--","--","No","00:15:45","5","--","--","--","--","--","--","--","--","01:04:56","02:14:14","536","663"
Walking,2024-06-12 14:25:46,false,"Bad Lauterberg im Harz Walking","8.58","690","02:02:36","98","118","45","163","14:17","2:53","280","295","1.81","0.0","6,368","--","--","No","00:09:02.5","9","--","--","--","--","--","--","--","--","01:33:37","02:02:36","192","383"
Walking,2024-06-10 14:01:42,false,"Bad Sachsa Walking","3.13","294","01:04:48","87","112","26","214","20:41","10:49","57","68","2.19","0.0","1,568","--","--","No","00:03:40.8","4","--","--","--","--","--","--","--","--","00:37:49","01:04:48","341","408"
Strength Training,2024-06-03 16:46:18,false,"Strength","0.00","380","00:36:02","133","159","--","--","--","--","--","--","--","0.0","--","--","--","No","00:36:02","1","--","--","--","--","--","--","--","--","00:00:00","00:36:02","--","--"
Treadmill Running,2024-06-03 16:30:44,false,"Treadmill Running","2.12","170","00:13:42","146","164","157","170","6:28","5:50","--","--","0.98","0.0","2,168","--","--","No","00:00:56.2","3","--","--","--","--","--","--","--","--","00:13:16","00:13:42","--","--"
Strength Training,2024-05-22 20:08:27,false,"Strength","0.00","392","00:40:42","132","161","--","--","--","--","--","--","--","0.0","--","--","--","No","00:40:42","1","--","--","--","--","--","--","--","--","00:00:00","00:40:42","--","--"
Strength Training,2024-05-20 20:00:47,false,"Strength","0.00","450","00:45:16","136","167","--","--","--","--","--","--","--","0.0","--","--","--","No","00:45:16","1","--","--","--","--","--","--","--","--","00:00:00","00:45:16","--","--"
Walking,2024-05-16 15:29:26,false,"Walking","6.09","1,025","02:53:45","111","169","56","208","28:29","5:07","--","--","0.59","0.0","12,516","--","--","No","00:05:44.9","7","--","--","--","--","--","--","--","--","01:27:04","03:03:15","--","--"
Indoor Climbing,2024-05-08 19:32:33,false,"Bouldering","0.00","720","02:05:12","110","145","--","--","--","--","--","--","--","0.0","--","--","--","No","02:05:12","1","--","--","--","--","--","--","--","--","00:00:00","02:05:12","--","--"
Running,2024-05-04 07:24:28,false,"Wangerland Running","4.14","295","00:24:59","137","160","157","166","6:02","0:49","6","6","1.06","0.0","3,970","--","--","No","00:00:49.8","5","--","--","--","--","--","--","--","--","00:24:42","00:38:04","2","8"
Running,2024-05-02 07:46:48,false,"Wangerland Running","5.05","408","00:34:15","152","171","154","165","6:47","5:49","10","11","0.96","0.0","5,310","--","--","No","00:00:24.4","6","--","--","--","--","--","--","--","--","00:33:44","00:34:15","-1","6"
Running,2024-04-30 06:06:15,false,"Berlin Running","2.73","212","00:18:58","142","160","150","161","6:57","5:54","2","--","0.96","0.0","2,860","--","--","No","00:04:51.0","3","--","--","--","--","--","--","--","--","00:18:58","00:18:58","47","55"
Bouldering,2024-04-12 10:03:19,false,"Bouldering","--","592","01:32:25","114","152","--","--","--","--","--","--","--","0.0","--","--","--","No","01:32:25","1","--","--","--","--","--","--","--","--","00:00:00","01:32:25","--","--"
Strength Training,2024-04-09 20:56:06,false,"Flexibility","0.00","136","00:19:14","107","138","--","--","--","--","--","--","--","0.0","--","--","--","No","00:19:14","1","--","--","--","--","--","--","--","--","00:00:00","00:19:14","--","--"
Bouldering,2024-04-05 09:54:21,false,"Bouldering","--","694","01:38:47","118","147","--","--","--","--","--","--","--","0.0","--","--","--","No","01:38:47","1","--","--","--","--","--","--","--","--","00:00:00","01:38:47","--","--"
Bouldering,2024-03-29 09:58:25,false,"Bouldering","--","725","01:44:53","119","144","--","--","--","--","--","--","--","0.0","--","--","--","No","01:44:53","1","--","--","--","--","--","--","--","--","00:00:00","01:44:53","--","--"
Strength Training,2024-03-25 20:37:15,false,"Home","0.00","169","00:26:11","105","134","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:11","1","--","--","--","--","--","--","--","--","00:00:00","00:26:11","--","--"
Bouldering,2024-03-22 09:50:53,false,"Bouldering","--","578","01:44:24","106","143","--","--","--","--","--","--","--","0.0","--","--","--","No","01:44:24","1","--","--","--","--","--","--","--","--","00:00:00","01:44:24","--","--"
Bouldering,2024-03-15 09:48:26,false,"Bouldering","--","627","01:31:31","118","146","--","--","--","--","--","--","--","0.0","--","--","--","No","01:31:31","1","--","--","--","--","--","--","--","--","00:00:00","01:31:31","--","--"
Strength Training,2024-02-29 12:35:55,false,"Spok","0.00","228","00:26:14","120","156","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:14","1","--","--","--","--","--","--","--","--","00:00:00","00:26:14","--","--"
Bouldering,2024-02-16 09:43:53,false,"Bouldering","--","695","01:40:24","117","153","--","--","--","--","--","--","--","0.0","--","--","--","No","01:40:24","1","--","--","--","--","--","--","--","--","00:00:00","01:40:24","--","--"
Bouldering,2024-02-09 09:56:09,false,"Bouldering","--","684","01:46:45","112","144","--","--","--","--","--","--","--","0.0","--","--","--","No","01:46:45","1","--","--","--","--","--","--","--","--","00:00:00","01:46:45","--","--"
Strength Training,2024-01-31 11:31:01,false,"HR Coherence","0.00","15","00:10:01","60","72","--","--","--","--","--","--","--","0.0","--","--","--","No","00:10:01","1","--","--","--","--","--","--","--","--","00:00:00","00:10:01","--","--"
Bouldering,2024-01-26 10:03:29,false,"Bouldering","--","639","01:39:53","114","136","--","--","--","--","--","--","--","0.0","--","--","--","No","01:39:53","1","--","--","--","--","--","--","--","--","00:00:00","01:39:53","--","--"
Strength Training,2024-01-25 20:26:40,false,"HR Coherence","0.00","--","00:00:17.3","60","64","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:17.3","1","--","--","--","--","--","--","--","--","00:00:00","00:00:17.3","--","--"
Strength Training,2024-01-23 20:40:52,false,"home pull","0.00","127","00:17:52","107","132","--","--","--","--","--","--","--","0.0","--","--","--","No","00:17:52","1","--","--","--","--","--","--","--","--","00:00:00","00:17:52","--","--"
Strength Training,2024-01-22 08:48:54,false,"20min Session","--","118","00:20:10","102","132","--","--","--","--","--","--","--","0.0","--","--","--","No","00:20:10","1","--","--","--","--","--","--","--","--","00:00:00","00:23:27","--","--"
Bouldering,2024-01-19 10:02:20,false,"Bouldering","--","655","01:47:39","112","133","--","--","--","--","--","--","--","0.0","--","--","--","No","01:47:39","1","--","--","--","--","--","--","--","--","00:00:00","01:47:39","--","--"
Cycling,2024-01-15 08:27:19,false,"Berlin Cycling","3.17","151","00:13:38","132","153","--","--","14.0","22.2","7","8","--","0.0","--","--","--","No","00:13:38","1","--","--","--","--","--","--","--","--","00:12:10","00:13:38","43","54"
Running,2024-01-14 11:51:51,false,"Berlin Running","10.17","877","01:11:18","161","181","155","181","7:01","4:28","70","64","0.92","0.0","11,106","--","--","No","00:01:03.3","11","--","--","--","--","--","--","--","--","01:10:40","01:11:18","44","65"
Bouldering,2024-01-13 10:44:30,false,"Bouldering","--","53","00:11:11","92","118","--","--","--","--","--","--","--","0.0","--","--","--","No","00:11:11","1","--","--","--","--","--","--","--","--","00:00:00","00:24:22","--","--"
Bouldering,2024-01-12 10:00:10,false,"Bouldering","--","562","01:48:11","103","138","--","--","--","--","--","--","--","0.0","--","--","--","No","01:48:11","1","--","--","--","--","--","--","--","--","00:00:00","01:48:11","--","--"
Strength Training,2024-01-09 21:30:17,false,"Home","0.00","11","00:05:38.3","66","77","--","--","--","--","--","--","--","0.0","--","--","--","No","00:05:38.3","1","--","--","--","--","--","--","--","--","00:00:00","00:05:38.3","--","--"
Strength Training,2024-01-09 21:19:53,false,"Home","0.00","5","00:02:47.8","68","73","--","--","--","--","--","--","--","0.0","--","--","--","No","00:02:47.8","1","--","--","--","--","--","--","--","--","00:00:00","00:02:47.8","--","--"
Strength Training,2024-01-09 21:14:32,false,"Home","0.00","6","00:03:12.8","65","70","--","--","--","--","--","--","--","0.0","--","--","--","No","00:03:12.8","1","--","--","--","--","--","--","--","--","00:00:00","00:03:12.8","--","--"
Strength Training,2024-01-09 21:11:58,false,"Home","0.00","1","00:00:54.2","68","72","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:54.2","1","--","--","--","--","--","--","--","--","00:00:00","00:00:54.2","--","--"
Strength Training,2024-01-09 16:20:07,false,"Spok","0.00","434","00:37:47","139","161","--","--","--","--","--","--","--","0.0","--","--","--","No","00:37:47","1","--","--","--","--","--","--","--","--","00:00:00","00:37:47","--","--"
Strength Training,2024-01-09 16:05:31,false,"Spok","0.00","1","00:00:12.5","102","104","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:12.5","1","--","--","--","--","--","--","--","--","00:00:00","00:00:12.5","--","--"
Strength Training,2024-01-09 16:05:02,false,"Spok","0.00","--","00:00:13.0","84","87","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:13.0","1","--","--","--","--","--","--","--","--","00:00:00","00:00:13.0","--","--"
Bouldering,2024-01-05 10:04:59,false,"Bouldering","--","625","01:40:14","112","143","--","--","--","--","--","--","--","0.0","--","--","--","No","01:40:14","1","--","--","--","--","--","--","--","--","00:00:00","01:40:14","--","--"
Yoga,2024-01-03 08:19:38,false,"Yoga","--","50","00:16:26","80","103","--","--","--","--","--","--","--","0.0","--","--","--","No","00:16:26","1","15","12","20","78","10","88","57","96","00:00:00","00:16:26","--","--"
Strength Training,2023-12-22 11:09:27,false,"Spok","0.00","306","00:26:13","136","156","--","--","--","--","--","--","--","0.0","--","--","--","No","00:26:13","1","--","--","--","--","--","--","--","--","00:00:00","00:26:13","--","--"
Strength Training,2023-12-21 21:59:04,false,"Home","0.00","12","00:07:55.6","60","74","--","--","--","--","--","--","--","0.0","--","--","--","No","00:07:55.6","1","--","--","--","--","--","--","--","--","00:00:00","00:07:55.6","--","--"
Strength Training,2023-12-21 15:10:05,false,"GymRun Demo Mod","0.00","1","00:00:41.5","61","63","--","--","--","--","--","--","--","0.0","--","--","--","No","00:00:41.5","1","--","--","--","--","--","--","--","--","00:00:00","00:00:41.5","--","--"
Bouldering,2023-12-19 16:02:44,false,"Bouldering","--","657","01:03:38","134","156","--","--","--","--","--","--","--","0.0","--","--","--","No","01:03:38","1","--","--","--","--","--","--","--","--","00:00:00","01:03:38","--","--"
Bouldering,2023-12-15 09:50:08,false,"Bouldering","--","809","01:53:55","118","149","--","--","--","--","--","--","--","0.0","--","--","--","No","01:53:55","1","--","--","--","--","--","--","--","--","00:00:00","01:53:55","--","--"
Cycling,2023-12-12 17:36:41,false,"Berlin Cycling","7.64","340","00:41:06","81","106","--","--","11.2","26.8","22","23","--","0.0","--","--","--","No","00:19:22","2","--","--","--","--","--","--","--","--","00:27:10","00:41:06","43","65"
