Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2025-08-12 07:53:10,false,"Berlin Cycling","7.25","173","00:21:15","120","143","--","--","20.5","30.9","17","31","--","0.0","--","--","--","No","00:06:47.6","2","--","--","--","--","--","--","--","--","00:19:31","00:21:15","25","57"
Cycling,2025-08-05 17:03:11,false,"Berlin Cycling","6.63","191","00:19:50","130","157","--","--","20.1","36.0","22","15","--","0.0","--","--","--","No","00:04:10.4","2","--","--","--","--","--","--","--","--","00:18:30","00:19:50","38","53"
Cycling,2025-08-05 08:25:30,false,"Berlin Cycling","8.81","261","00:28:09","129","148","--","--","18.8","28.1","33","46","--","0.0","--","--","--","No","00:12:35","2","--","--","--","--","--","--","--","--","00:25:47","00:28:09","26","56"
Strength Training,2025-07-31 08:30:27,false,"Strength","0.00","163","00:23:48","114","146","--","--","--","--","--","--","--","0.0","--","--","--","No","00:23:48","1","--","--","--","--","--","--","--","--","00:00:00","00:23:48","--","--"
Cycling,2025-07-31 07:56:18,false,"Berlin Cycling","8.47","280","00:29:35","130","155","--","--","17.2","28.4","33","32","--","0.0","--","--","--","No","00:13:26","2","--","--","--","--","--","--","--","--","00:25:58","00:29:35","25","58"
Cycling,2025-07-29 17:40:33,false,"Berlin Cycling","8.30","234","00:25:10","129","153","--","--","19.8","34.2","37","21","--","0.0","--","--","--","No","00:09:41.3","2","--","--","--","--","--","--","--","--","00:23:16","00:26:13","32","58"
Strength Training,2025-07-29 08:18:32,false,"Strength","0.00","181","00:22:31","119","138","--","--","--","--","--","--","--","0.0","--","--","--","No","00:22:31","1","--","--","--","--","--","--","--","--","00:00:00","00:22:31","--","--"
Cycling,2025-07-29 07:45:06,false,"Berlin Cycling","8.50","191","00:26:37","114","135","--","--","19.2","28.1","37","55","--","0.0","--","--","--","No","00:10:52","2","--","--","--","--","--","--","--","--","00:24:35","00:26:37","26","62"
Cycling,2025-07-28 15:25:33,false,"Berlin Cycling","8.12","228","00:25:25","122","147","--","--","19.2","28.6","45","33","--","0.0","--","--","--","No","00:09:25.5","2","--","--","--","--","--","--","--","--","00:23:51","00:25:25","26","56"
Cycling,2025-07-28 08:46:45,false,"Berlin Cycling","8.75","336","00:26:16","107","140","--","--","20.0","30.3","10","26","--","0.0","--","--","--","No","00:11:18","2","--","--","--","--","--","--","--","--","00:23:59","00:26:16","26","60"
Strength Training,2025-07-28 06:53:39,false,"Flexibility","0.00","24","00:15:24","88","109","--","--","--","--","--","--","--","0.0","--","--","--","No","00:15:24","1","--","--","--","--","--","--","--","--","00:00:00","00:15:24","--","--"
Cycling,2025-07-27 16:06:38,false,"Berlin Cycling","5.83","184","00:19:56","120","146","--","--","17.6","28.7","35","46","--","0.0","--","--","--","No","00:03:12.6","2","--","--","--","--","--","--","--","--","00:17:09","00:28:01","43","69"
Cycling,2025-07-27 13:24:49,false,"Berlin Cycling","6.44","212","00:19:52","132","156","--","--","19.4","31.1","26","17","--","0.0","--","--","--","No","00:05:31.2","2","--","--","--","--","--","--","--","--","00:17:22","00:19:52","43","63"
Cycling,2025-07-26 17:31:15,false,"Berlin Cycling","9.44","346","00:37:51","135","169","--","--","15.0","32.4","62","71","--","0.0","--","--","--","No","00:17:50","2","--","--","--","--","--","--","--","--","00:28:50","00:37:51","34","61"
Strength Training,2025-07-25 05:59:18,false,"Flexibility","0.00","68","00:21:51","81","101","--","--","--","--","--","--","--","0.0","--","--","--","No","00:21:51","1","--","--","--","--","--","--","--","--","00:00:00","00:21:51","--","--"
Strength Training,2025-07-11 13:54:54,false,"Strength","0.00","195","00:40:57","123","150","--","--","--","--","--","--","--","0.0","--","--","--","No","00:22:57","1","--","--","--","--","--","--","--","--","00:00:00","00:22:57","--","--"
Strength Training,2025-07-08 20:20:32,false,"Strength","0.00","149","00:32:07","109","137","--","--","--","--","--","--","--","0.0","--","--","--","No","00:32:07","1","--","--","--","--","--","--","--","--","00:00:00","00:32:07","--","--"
Cycling,2025-07-04 19:44:07,false,"Berlin Cycling","11.06","364","00:35:09","140","170","--","--","18.9","36.3","49","74","--","0.0","--","--","--","No","00:03:27.9","3","--","--","--","--","--","--","--","--","00:31:42","00:35:09","39","75"
Cycling,2025-07-04 16:27:40,false,"Berlin Cycling","7.96","273","00:23:26","151","176","--","--","20.4","38.7","43","61","--","0.0","--","--","--","No","00:07:47.4","2","--","--","--","--","--","--","--","--","00:19:27","00:23:26","34","61"
Cycling,2025-07-03 17:29:05,false,"Berlin Cycling","8.15","295","00:27:47","142","167","--","--","17.6","30.4","58","42","--","0.0","--","--","--","No","00:10:25","2","--","--","--","--","--","--","--","--","00:22:58","00:27:47","26","56"
Strength Training,2025-07-03 08:11:18,false,"Strength","0.00","146","00:25:02","120","135","--","--","--","--","--","--","--","0.0","--","--","--","No","00:25:02","1","--","--","--","--","--","--","--","--","00:00:00","00:25:02","--","--"
Cycling,2025-07-03 07:36:49,false,"Berlin Cycling","8.38","280","00:27:01","147","167","--","--","18.6","33.3","37","51","--","0.0","--","--","--","No","00:10:08","2","--","--","--","--","--","--","--","--","00:24:36","00:27:01","25","59"
Cycling,2025-07-01 17:16:25,false,"Berlin Cycling","8.13","258","00:28:33","118","143","--","--","17.1","31.2","41","25","--","0.0","--","--","--","No","00:12:01","2","--","--","--","--","--","--","--","--","00:26:03","00:29:06","26","56"
Strength Training,2025-07-01 08:28:39,false,"Strength","0.00","117","00:22:28","146","164","--","--","--","--","--","--","--","0.0","--","--","--","No","00:22:28","1","--","--","--","--","--","--","--","--","00:00:00","00:22:28","--","--"
Cycling,2025-07-01 07:58:53,false,"Berlin Cycling","8.34","214","00:24:19","127","169","--","--","20.6","31.5","26","40","--","0.0","--","--","--","No","00:10:01","2","--","--","--","--","--","--","--","--","00:21:23","00:24:19","25","60"
Cycling,2025-06-24 16:21:47,false,"Berlin Cycling","8.74","235","00:29:50","123","151","--","--","17.6","30.7","36","30","--","0.0","--","--","--","No","00:14:44","2","--","--","--","--","--","--","--","--","00:25:09","00:39:47","26","58"
Cycling,2025-06-24 07:59:00,false,"Berlin Cycling","8.46","219","00:25:29","125","165","--","--","19.9","35.0","29","46","--","0.0","--","--","--","No","00:11:37","2","--","--","--","--","--","--","--","--","00:23:03","00:25:29","25","61"
Cycling,2025-06-20 19:51:09,false,"Berlin Cycling","11.19","374","00:39:18","134","166","--","--","17.1","30.9","53","43","--","0.0","--","--","--","No","00:03:50.2","3","--","--","--","--","--","--","--","--","00:31:48","00:39:18","39","60"
Cycling,2025-06-20 16:14:28,false,"Berlin Cycling","8.86","383","00:34:55","151","179","--","--","15.2","34.0","36","53","--","0.0","--","--","--","No","00:15:14","2","--","--","--","--","--","--","--","--","00:26:12","00:34:55","34","61"
Cycling,2025-06-19 17:35:45,false,"Berlin Cycling","11.29","388","00:39:40","138","162","--","--","17.1","27.3","36","28","--","0.0","--","--","--","No","00:04:43.3","3","--","--","--","--","--","--","--","--","00:34:31","00:39:40","26","58"
Cycling,2025-06-19 16:59:05,false,"Berlin Cycling","2.63","177","00:20:29","125","155","--","--","7.7","27.2","304","267","--","0.0","--","--","--","No","00:20:29","1","--","--","--","--","--","--","--","--","00:07:56","00:20:29","26","300"
Strength Training,2025-06-19 08:27:35,false,"Strength","0.00","133","00:21:11","109","127","--","--","--","--","--","--","--","0.0","--","--","--","No","00:21:11","1","--","--","--","--","--","--","--","--","00:00:00","00:21:11","--","--"
Cycling,2025-06-19 07:54:50,false,"Berlin Cycling","8.50","261","00:27:09","132","164","--","--","18.8","31.1","38","55","--","0.0","--","--","--","No","00:10:14","2","--","--","--","--","--","--","--","--","00:23:56","00:27:09","26","61"
Walking,2025-06-15 13:30:56,false,"Cluj-Napoca Walking","3.40","264","00:51:08","87","117","82","159","15:03","9:39","77","79","0.81","0.0","4,532","--","--","No","00:05:19.6","4","--","--","--","--","--","--","--","--","00:44:41","00:54:30","682","751"
Cycling,2025-06-06 21:10:55,false,"Berlin Cycling","6.01","151","00:17:36","109","146","--","--","20.5","35.6","11","21","--","0.0","--","--","--","No","00:03:06.4","2","--","--","--","--","--","--","--","--","00:16:31","00:17:36","43","59"
